state,ListingYear,Count
Australian Capital Territory,2019,88
Australian Capital Territory,2020,97
Australian Capital Territory,2021,121
Australian Capital Territory,2022,9
New South Wales,2019,614
New South Wales,2020,332
New South Wales,2021,697
New South Wales,2022,55
Northern Territories,2019,1
Northern Territories,2021,1
Northern Territory,2021,5
Overseas,2021,2
Queensland,2019,110
Queensland,2020,66
Queensland,2021,182
Queensland,2022,8
South Australia,2019,50
South Australia,2020,27
South Australia,2021,63
South Australia,2022,4
Tasmania,2019,3
Tasmania,2020,3
Tasmania,2021,4
UK & Ireland,2019,1
UK & Ireland,2020,2
Victoria,2019,355
Victoria,2020,227
Victoria,2021,471
Victoria,2022,35
Western Australia,2019,91
Western Australia,2020,52
Western Australia,2021,120
Western Australia,2022,6
